auroc,auprc,f1,shd,dataset,kind,d,n,seed,method,time_s,n_params,gen_seed
1.0,1.0,1.0,0,linear_d50_n3000,linear,50,3000,44,GOLEM,0.4,,44
0.7960085354300033,0.3120867896456699,0.4057971014492754,41,linear_d50_n3000,linear,50,3000,44,CD-KAN,14.591,82550.0,44
0.9721283783783783,0.9211309523809524,0.8571428571428571,4,nonlin_d10_n2000,nonlinear,10,2000,42,VAR-Lasso,0.073,,60042
0.910472972972973,0.7518003567883234,0.7096774193548387,9,nonlin_d10_n2000,nonlinear,10,2000,42,Correlation,0.009,,60042
0.7694256756756757,0.7385843380208135,0.7586206896551724,7,nonlin_d10_n2000,nonlinear,10,2000,42,NOTEARS,2.728,,60042
0.9822635135135136,0.9491202731092437,0.9090909090909091,3,nonlin_d10_n2000,nonlinear,10,2000,42,GOLEM,0.278,,60042
0.9923986486486487,0.9775,0.967741935483871,1,nonlin_d10_n2000,nonlinear,10,2000,42,PCMCI,1.623,,60042
0.9666385135135135,0.9405381944444444,0.9375,2,nonlin_d10_n2000,nonlinear,10,2000,42,VarLiNGAM,2.803,,60042
0.9113175675675675,0.8095937405065694,0.7428571428571429,9,nonlin_d10_n2000,nonlinear,10,2000,42,GC-KAN,45.695,,60042
0.9121621621621622,0.7900452845765347,0.7058823529411765,10,nonlin_d10_n2000,nonlinear,10,2000,42,GC-KAN+ALM,45.26,,60042
0.7077702702702703,0.3842530463377932,0.45161290322580644,17,nonlin_d10_n2000,nonlinear,10,2000,42,Neural-GC,16.678,,60042
0.8707770270270271,0.7896367521367521,0.8275862068965517,5,nonlin_d10_n2000,nonlinear,10,2000,42,NTS-NOTEARS,26.35,,60042
0.8809121621621622,0.8059568903318903,0.7407407407407407,7,nonlin_d10_n2000,nonlinear,10,2000,42,CD-KAN,2.211,3310,60042
0.9927477840451249,0.9753668057612062,0.9375,2,nonlin_d10_n2000,nonlinear,10,2000,43,VAR-Lasso,0.028,,10043
0.9137792103142628,0.7385837938779116,0.6875,10,nonlin_d10_n2000,nonlinear,10,2000,43,Correlation,0.008,,10043
0.9121676067687349,0.8477165906653263,0.8,7,nonlin_d10_n2000,nonlinear,10,2000,43,NOTEARS,0.109,,10043
0.9846897663174858,0.9429679367759863,0.8717948717948718,5,nonlin_d10_n2000,nonlinear,10,2000,43,GOLEM,0.35,,10043
1.0,1.0,1.0,0,nonlin_d10_n2000,nonlinear,10,2000,43,PCMCI,1.615,,10043
1.0,1.0,1.0,0,nonlin_d10_n2000,nonlinear,10,2000,43,VarLiNGAM,1.666,,10043
0.8839645447219984,0.8308567937050909,0.7777777777777778,8,nonlin_d10_n2000,nonlinear,10,2000,43,GC-KAN,44.406,,10043
0.8823529411764705,0.809352769417476,0.7567567567567568,9,nonlin_d10_n2000,nonlinear,10,2000,43,GC-KAN+ALM,44.709,,10043
0.8082191780821918,0.39284846090519704,0.6363636363636364,16,nonlin_d10_n2000,nonlinear,10,2000,43,Neural-GC,16.02,,10043
0.9617244157937148,0.9346055088702148,0.9090909090909091,3,nonlin_d10_n2000,nonlinear,10,2000,43,NTS-NOTEARS,23.855,,10043
0.9008863819500403,0.8387852939957229,0.7647058823529411,8,nonlin_d10_n2000,nonlinear,10,2000,43,CD-KAN,2.596,3310,10043
0.9933283914010378,0.9830827067669172,0.972972972972973,1,nonlin_d10_n2000,nonlinear,10,2000,44,VAR-Lasso,0.025,,20044
0.9621942179392142,0.9042831008001286,0.8333333333333334,6,nonlin_d10_n2000,nonlinear,10,2000,44,Correlation,0.008,,20044
0.9266123054114159,0.9180809165771571,0.9142857142857143,3,nonlin_d10_n2000,nonlinear,10,2000,44,NOTEARS,0.114,,20044
1.0,1.0,1.0,0,nonlin_d10_n2000,nonlinear,10,2000,44,GOLEM,0.276,,20044
1.0,1.0,1.0,0,nonlin_d10_n2000,nonlinear,10,2000,44,PCMCI,1.695,,20044
1.0,0.9999999999999998,1.0,0,nonlin_d10_n2000,nonlinear,10,2000,44,VarLiNGAM,1.294,,20044
0.9740548554484803,0.9365400466406657,0.8888888888888888,4,nonlin_d10_n2000,nonlinear,10,2000,44,GC-KAN,44.62,,20044
0.9747961452928096,0.9328684317530067,0.8888888888888888,4,nonlin_d10_n2000,nonlinear,10,2000,44,GC-KAN+ALM,44.797,,20044
0.85470719051149,0.6105803979207503,0.6666666666666666,13,nonlin_d10_n2000,nonlinear,10,2000,44,Neural-GC,15.645,,20044
0.9733135656041512,0.9584795321637425,0.972972972972973,1,nonlin_d10_n2000,nonlinear,10,2000,44,NTS-NOTEARS,20.104,,20044
0.9681245366938473,0.9480861244019136,0.9142857142857143,3,nonlin_d10_n2000,nonlinear,10,2000,44,CD-KAN,2.595,3310,20044
